OverallQual,GrLivArea,TotalBsmtSF,1stFlrSF,YearBuilt,YearRemodAdd,GarageCars,GarageArea,FullBath,TotRmsAbvGrd,KitchenQual,Fireplaces,LotArea,Neighborhood,ExterQual,SalePrice
7,1710,856,856,2003,2003,2,548,2,8,Gd,0,8450,CollgCr,Gd,208500
6,1262,1262,1262,1976,1976,2,460,2,6,TA,1,9600,Veenker,TA,181500
7,1786,920,920,2001,2002,2,608,2,6,Gd,1,11250,CollgCr,Gd,223500
8,1694,1686,1694,2004,2005,2,636,2,7,Gd,1,10084,Somerst,Gd,307000
7,1774,952,1022,1931,1950,2,468,2,8,TA,2,6120,OldTown,TA,129900
5,1077,991,1077,1939,1950,1,205,1,5,TA,2,7420,BrkSide,TA,118000
9,2324,1175,1182,2005,2006,3,736,3,11,Ex,2,11924,NridgHt,Ex,345000
5,912,912,912,1962,1962,1,352,1,4,TA,0,12968,Sawyer,TA,144000
7,1494,1494,1494,2006,2007,3,840,2,7,Gd,1,10652,CollgCr,Gd,279500
6,1253,1253,1253,1960,1960,1,352,1,5,TA,1,10920,NAmes,TA,157000
7,854,832,854,1929,2001,2,576,1,5,TA,0,6120,BrkSide,TA,132000
4,1296,0,1296,1967,1967,2,516,2,6,TA,0,10791,Sawyer,TA,90000
5,1114,1114,1114,2004,2004,2,576,1,6,Gd,0,13695,SawyerW,TA,159000
5,1339,1029,1339,1958,1965,1,294,1,6,TA,0,7560,NAmes,TA,139000
8,2376,1158,1158,2005,2006,3,853,3,9,Gd,1,14215,NridgHt,Gd,325300
7,1108,637,1108,1930,1950,1,280,1,6,Gd,1,7449,IDOTRR,TA,139400
5,1060,1060,1060,1968,2001,1,270,1,6,Gd,1,8246,Sawyer,TA,154000
5,900,900,900,1951,2000,2,576,1,5,Gd,0,7200,NAmes,TA,134800
8,1704,1704,1704,2007,2008,3,772,2,7,Gd,1,11478,NridgHt,Gd,306000
4,520,520,520,1927,1950,1,240,1,4,Fa,0,6324,BrkSide,TA,68500
4,1317,649,649,1920,1950,1,250,1,6,TA,0,8500,IDOTRR,TA,40000
5,1228,1228,1228,1966,2006,1,271,1,6,Gd,0,8544,Sawyer,TA,149350
8,1234,1234,1234,2007,2007,2,484,2,7,Gd,0,11049,CollgCr,Gd,179900
5,1700,1398,1700,1959,1959,2,447,1,6,Gd,1,10552,NAmes,TA,165500
9,1561,1561,1561,2005,2005,2,556,2,6,Ex,1,7313,NridgHt,Ex,277500
8,2452,1117,1132,2004,2005,3,691,3,9,Gd,1,13418,NridgHt,Gd,309000
5,1097,1097,1097,1994,1995,2,672,1,6,TA,0,10859,CollgCr,TA,145000
5,1057,1057,1057,1953,2007,1,246,1,5,Gd,0,7922,NAmes,TA,109000
4,1152,0,1152,1955,1955,0,0,2,6,Fa,0,6040,Edwards,TA,82000
6,1324,1088,1324,1965,1965,2,440,2,6,TA,1,8658,NAmes,TA,160000
5,1328,1350,1328,1959,1959,1,308,1,5,TA,2,16905,Timber,TA,170000
5,884,840,884,1983,1983,2,504,1,5,Gd,0,9180,SawyerW,TA,144000
5,938,938,938,1975,1980,1,308,1,5,TA,0,9200,CollgCr,TA,130250
5,1150,1150,1150,1959,1959,1,300,1,6,TA,0,7945,NAmes,TA,141000
9,1752,1752,1752,2005,2005,2,576,2,6,Ex,1,7658,NridgHt,Ex,319900
7,2149,1434,1518,2003,2003,2,670,1,6,Gd,1,12822,Mitchel,Gd,239686
4,1452,736,736,1920,2008,0,0,2,8,TA,0,4456,OldTown,TA,113000
5,955,955,955,1966,1966,1,386,1,6,TA,0,7742,Sawyer,TA,127000
6,1470,794,794,1997,1997,2,388,2,6,TA,0,13869,Gilbert,TA,177000
5,816,816,816,1963,1963,2,516,1,5,TA,0,8472,IDOTRR,Fa,110000
9,1842,1842,1842,1981,1987,3,894,0,5,Gd,1,50271,Veenker,Gd,385000
5,1360,384,1360,1955,1955,2,572,1,6,TA,1,7134,NAmes,TA,130000
6,1425,1425,1425,1964,1964,2,576,2,7,TA,1,10175,NAmes,TA,180500
8,1739,970,983,1999,2000,2,480,2,7,Gd,0,2645,Somerst,Gd,172500
7,1720,860,860,2004,2004,2,565,2,7,Gd,0,11645,CollgCr,Gd,196500
